epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,153.805,0.52216,0.92382,0.84444,0.95291,0.99446,0.995,0.87441,0.58989,0.59166,0.86881,0.0001981,0.0001981,0.0001981
83,156.107,0.5314,0.92526,0.8678,0.95354,0.99396,0.995,0.87074,0.59007,0.58844,0.86959,0.0001882,0.0001882,0.0001882
84,157.724,0.49344,0.93098,0.85557,0.95387,0.99391,0.995,0.88176,0.5895,0.5848,0.8696,0.0001783,0.0001783,0.0001783
85,159.25,0.51417,1.00553,0.8428,0.95467,0.99414,0.995,0.8822,0.58853,0.5807,0.86825,0.0001684,0.0001684,0.0001684
86,160.875,0.49859,0.85349,0.85025,0.95427,0.99401,0.995,0.88396,0.5854,0.57937,0.86855,0.0001585,0.0001585,0.0001585
87,162.404,0.53588,0.88277,0.85294,0.95454,0.99413,0.995,0.87241,0.5889,0.57662,0.86949,0.0001486,0.0001486,0.0001486
88,163.972,0.49062,0.87362,0.8337,0.95486,0.99423,0.995,0.88396,0.59173,0.5734,0.86984,0.0001387,0.0001387,0.0001387
89,165.611,0.51715,0.91365,0.86035,0.95434,0.99408,0.995,0.88477,0.59253,0.56887,0.87135,0.0001288,0.0001288,0.0001288
90,167.765,0.53665,0.90263,0.87009,0.95521,0.99422,0.995,0.88233,0.59567,0.56516,0.87233,0.0001189,0.0001189,0.0001189
91,172.298,0.50614,1.14563,0.85386,0.95715,0.99441,0.995,0.88234,0.59432,0.56115,0.87254,0.000109,0.000109,0.000109
92,174.731,0.48385,1.09316,0.84083,0.95915,0.99482,0.995,0.87865,0.59463,0.56385,0.87289,9.91e-05,9.91e-05,9.91e-05
93,176.139,0.49792,1.10573,0.86946,0.95867,0.9947,0.995,0.88388,0.59308,0.56192,0.87254,8.92e-05,8.92e-05,8.92e-05
94,177.73,0.49412,1.1576,0.88138,0.95982,0.99466,0.995,0.88388,0.59381,0.5694,0.87163,7.93e-05,7.93e-05,7.93e-05
95,179.178,0.50423,1.22469,0.85334,0.96198,0.99517,0.995,0.88028,0.59156,0.56534,0.87109,6.94e-05,6.94e-05,6.94e-05
96,180.946,0.50192,1.12251,0.84607,0.96324,0.99535,0.995,0.88701,0.59063,0.56781,0.86962,5.95e-05,5.95e-05,5.95e-05
97,183.386,0.51788,1.15998,0.85259,0.96375,0.99518,0.995,0.88702,0.58969,0.56826,0.86871,4.96e-05,4.96e-05,4.96e-05
98,185.229,0.49305,1.18333,0.87236,0.9651,0.99573,0.995,0.88702,0.59071,0.56198,0.86916,3.97e-05,3.97e-05,3.97e-05
99,186.67,0.45515,1.2064,0.81779,0.96576,0.996,0.995,0.88679,0.59121,0.56012,0.86878,2.98e-05,2.98e-05,2.98e-05
100,188.255,0.52592,1.22701,0.82915,0.966,0.99614,0.995,0.88679,0.59097,0.55854,0.86865,1.99e-05,1.99e-05,1.99e-05
